C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2016,1,1,11,2,2,32,1,1,5,4,18,1,1,2015,1,M,56,QQ,1,2,U,2337571
2016,1,1,11,2,2,32,1,1,5,4,18,1,1,2015,UU,U,UU,UU,U,UU,U,2337571
2016,1,1,11,2,2,32,1,1,5,4,18,2,1,2010,1,F,30,11,2,2,1,2337571
2016,1,1,11,2,2,32,1,1,5,4,18,2,1,2010,2,U,1,QQ,N,NN,U,2337571
2016,1,1,16,2,2,32,1,2,5,3,18,1,1,2007,1,F,27,11,2,2,1,2337572
2016,1,1,16,2,2,32,1,2,5,3,18,1,1,2007,2,F,5,33,1,2,2,2337572
2016,1,1,16,2,2,32,1,2,5,3,18,2,1,2009,1,M,18,11,2,2,1,2337572
2016,1,1,20,2,1,4,1,2,2,1,12,1,1,2011,1,M,38,11,2,2,1,2337576
2016,1,1,20,2,1,4,1,2,2,1,12,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337576
2016,1,1,20,2,1,4,1,2,2,1,12,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337576
2016,1,1,21,2,2,2,1,1,2,1,12,1,1,2007,1,M,23,11,1,2,1,2337589
2016,1,1,21,2,2,2,1,1,2,1,12,1,1,2007,2,F,23,13,1,2,2,2337589
2016,1,1,21,2,2,2,1,1,2,1,12,2,1,2010,3,F,49,11,2,2,1,2337589
2016,1,1,16,2,2,33,2,2,2,1,1,1,1,2006,1,M,64,11,2,2,1,2337595
2016,1,1,16,2,2,33,2,2,2,1,1,1,1,2006,2,F,61,QQ,N,NN,U,2337595
2016,1,1,16,2,2,33,2,2,2,1,1,2,1,2011,1,F,75,QQ,2,2,U,2337595
2016,1,1,16,2,2,33,2,2,2,1,1,2,1,2011,UU,U,UU,UU,U,UU,U,2337595
2016,1,1,16,2,2,33,2,2,2,1,1,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337595
2016,1,1,16,2,2,33,2,2,2,1,1,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337595
2016,1,1,12,2,1,5,1,1,5,1,18,1,1,2010,1,F,69,QQ,2,2,U,2337630
2016,1,1,12,2,1,5,1,1,5,1,18,1,1,2010,UU,U,UU,UU,U,UU,U,2337630
2016,1,1,14,2,1,2,UU,7,5,U,18,1,1,2011,1,F,39,11,2,2,1,2337647
2016,1,1,22,2,2,2,1,1,1,1,UU,1,7,2014,1,M,37,11,2,UU,1,2337649
2016,1,1,22,2,2,2,1,1,1,1,UU,2,NN,UUUU,UU,U,UU,UU,U,UU,U,2337649
2016,1,1,17,2,1,4,7,4,4,1,UU,1,1,2013,1,F,27,QQ,2,2,U,2337696
2016,1,1,17,2,1,4,7,4,4,1,UU,1,1,2013,UU,U,UU,UU,U,UU,U,2337696
2016,1,1,9,2,1,4,1,1,1,1,UU,1,1,2012,1,F,66,QQ,2,2,U,2337705
2016,1,1,9,2,1,4,1,1,1,1,UU,1,1,2012,UU,U,UU,UU,U,UU,U,2337705
2016,1,1,9,2,1,4,1,1,1,1,UU,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337705
2016,1,1,9,2,1,4,1,1,1,1,UU,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337705
2016,1,1,21,2,1,2,1,1,4,2,18,1,1,2002,1,F,44,QQ,1,2,U,2337753
2016,1,1,21,2,1,2,1,1,4,2,18,1,1,2002,UU,U,UU,UU,U,UU,U,2337753
2016,1,1,21,2,1,2,1,1,4,2,18,99,NN,NNNN,1,F,65,99,2,NN,3,2337753
2016,1,1,13,2,1,4,1,1,2,1,18,1,1,2010,1,F,36,11,2,2,1,2337885
2016,1,1,13,2,1,4,1,1,2,1,18,1,1,2010,2,M,35,13,2,2,2,2337885
2016,1,1,14,2,2,4,UU,2,4,1,18,1,1,2011,1,M,19,QQ,2,NN,U,2337950
2016,1,1,14,2,2,4,UU,2,4,1,18,1,1,2011,UU,U,UU,UU,U,UU,U,2337950
2016,1,1,14,2,2,4,UU,2,4,1,18,2,1,UUUU,UU,U,UU,UU,U,UU,U,2337950
2016,1,1,14,2,2,4,UU,2,4,1,18,99,NN,NNNN,UU,U,UU,UU,U,NN,3,2337950
