C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2009,11,1,15,2,2,QQ,2,1,1,1,UU,1,1,UUUU,1,M,63,11,2,2,1,1480053
2009,11,1,15,2,2,QQ,2,1,1,1,UU,2,20,UUUU,1,M,49,11,1,NN,U,1480053
2009,11,1,19,2,2,31,2,1,2,1,18,1,20,UUUU,1,M,52,11,1,NN,U,1480066
2009,11,1,19,2,2,31,2,1,2,1,18,2,1,UUUU,1,F,NN,11,2,NN,1,1480066
2009,11,1,11,2,1,3,2,1,2,1,18,1,1,UUUU,1,F,48,11,2,2,1,1480215
2009,11,1,16,2,1,UU,UU,4,3,3,18,1,1,UUUU,1,M,9,23,2,2,2,1480258
2009,11,1,16,2,1,UU,UU,4,3,3,18,1,1,UUUU,2,F,33,11,1,NN,1,1480258
2009,11,1,9,2,2,UU,8,1,1,1,3,1,1,UUUU,1,F,34,13,2,2,2,1480307
2009,11,1,9,2,2,UU,8,1,1,1,3,1,1,UUUU,2,M,37,11,1,NN,1,1480307
2009,11,1,9,2,2,UU,8,1,1,1,3,2,NN,UUUU,1,F,26,11,1,NN,U,1480307
2009,11,1,20,2,2,35,3,1,1,1,18,1,1,UUUU,1,M,69,11,1,NN,1,1480319
2009,11,1,20,2,2,35,3,1,1,1,18,2,1,UUUU,1,F,56,11,2,2,1,1480319
2009,11,1,20,2,2,35,3,1,1,1,18,2,1,UUUU,2,F,67,13,2,2,2,1480319
2009,11,1,12,2,2,QQ,UU,1,1,1,3,1,1,UUUU,1,F,25,11,1,NN,1,1480370
2009,11,1,12,2,2,QQ,UU,1,1,1,3,2,1,UUUU,1,F,40,12,2,2,2,1480370
2009,11,1,12,2,2,QQ,UU,1,1,1,3,2,1,UUUU,2,M,52,11,1,NN,1,1480370
2009,11,1,14,2,2,35,3,1,1,2,UU,1,1,2000,1,N,NN,11,1,NN,1,1480371
2009,11,1,14,2,2,35,3,1,1,2,UU,2,1,UUUU,1,F,86,11,2,2,1,1480371
2009,11,1,14,2,2,35,3,1,1,2,UU,2,1,UUUU,2,F,NN,13,2,2,2,1480371
2009,11,1,14,2,2,35,3,1,1,2,UU,2,1,UUUU,3,F,NN,21,2,2,2,1480371
2009,11,1,19,2,2,33,2,1,1,1,1,1,1,UUUU,1,M,7,21,2,2,2,1480400
2009,11,1,19,2,2,33,2,1,1,1,1,1,1,UUUU,2,F,64,11,1,NN,1,1480400
2009,11,1,19,2,2,33,2,1,1,1,1,2,1,UUUU,1,F,21,11,2,2,1,1480400
2009,11,1,8,2,1,UU,UU,2,2,5,UU,1,1,UUUU,1,F,46,11,2,NN,1,1480407
2009,11,1,17,2,2,35,2,1,1,1,18,1,1,UUUU,1,F,NN,11,2,NN,1,1480519
2009,11,1,17,2,2,35,2,1,1,1,18,2,1,UUUU,1,M,33,11,1,NN,1,1480519
2009,11,1,17,2,3,2,2,3,2,1,18,1,NN,2000,1,N,NN,11,1,NN,U,1480587
2009,11,1,17,2,3,2,2,3,2,1,18,2,1,UUUU,1,F,26,11,2,2,1,1480587
2009,11,1,17,2,3,2,2,3,2,1,18,3,1,UUUU,1,N,NN,NN,N,NN,U,1480587
2009,11,1,17,2,3,2,2,3,2,1,18,3,1,UUUU,2,F,32,11,2,2,1,1480587
2009,11,1,17,2,3,2,2,3,2,1,18,4,1,UUUU,1,F,NN,13,2,2,2,1480587
2009,11,1,17,2,3,2,2,3,2,1,18,4,1,UUUU,2,M,20,11,1,NN,1,1480587
2009,11,1,8,2,1,4,UU,2,5,1,UU,1,1,UUUU,1,F,22,11,2,2,1,1480734
2009,11,1,17,2,2,QQ,UU,1,1,1,1,1,1,UUUU,1,F,72,13,2,2,2,1480746
2009,11,1,17,2,2,QQ,UU,1,1,1,1,1,1,UUUU,2,M,76,11,1,NN,1,1480746
2009,11,1,17,2,2,QQ,UU,1,1,1,1,2,1,UUUU,1,M,19,11,1,NN,1,1480746
2009,11,1,13,2,2,21,2,2,1,1,3,1,1,UUUU,1,M,54,11,2,2,1,1480964
